title,category,integration_status,github_url,website,total_awarded_usd,open_source,description
Reflector,Infrastructure & Services,Mainnet,https://github.com/reflector-network/,https://reflector.network,444840.0,"Yes, fully open-source with Github","Decentralized price feed oracle for Stellar DeFi smart contracts to support derivatives, lending, and asset management"
AnChain.AI,Developer Tooling,Mainnet,https://github.com/AnChainAI,https://www.anchain.ai/,435000.0,"Partly, I do have a public Github",The AnChain.AI Catalog is an open-source catalog of audited smart contracts designed to help companies build web3 projects faster.
Stellarchain.io,Infrastructure & Services,Mainnet,https://github.com/stellarchain/stellarchain-v3,https://stellarchain.io,240635.0,"Not yet, I don’t have a Github yet but my project will be open-source","The StellarChain.Dev Community will be a platform for engaging stellar community members and creating new connection, introducing new features and functionalities while collecting data from the blockchain. This extension will provide additional tools"
Scout,Developer Tooling,Mainnet,https://github.com/CoinFabrik/scout-audit,https://www.coinfabrik.com/,240000.0,"Yes, fully open-source with Github","To enhance the usability of Scout and raise awareness about the product and the security issues it tackles, aiding Soroban devs."
Stellar PHP SDK,Developer Tooling,Mainnet,https://github.com/Soneso/stellar-php-sdk,https://github.com/Soneso/stellar-php-sdk,225000.0,"Yes, fully open-source with Github",Easy access to Stellar for PHP developers
CommuniDAO,Developer Tooling,Mainnet,https://github.com/communidao,https://www.communidao.cc,219200.0,"Yes, fully open-source with Github","Initially conceived as a Discord bot, the project has evolved into a comprehensive DAO tooling suite, complete with an Integrations SDK that allows for custom app development. The platform leverages Soroban, to manage memberships and facilitate gover"
Smart Deploy,Developer Tooling,Mainnet,https://github.com/TENK-DAO/smartdeploy/commits/main/,https://www.smartdeploy.dev/,194800.0,"Yes, fully open-source with Github","Smart Deploy is an advanced platform designed to streamline and simplify the uploading, invoking, deploying, and upgrading of smart contracts on Soroban."
Mercury,Infrastructure & Services,Mainnet,https://github.com/xycloo,https://mercurydata.app/,172000.0,"Partly, I do have a public Github","Mercury is a cost-effective and efficient indexing service that specialized both on Soroban and Stellar ""Classic/Vanilla"" indexing. Mercury also offers a cloud service for deploying advanced network-synced programs that need to work with the Network'"
SorobanPulse,Infrastructure & Services,Mainnet,https://github.com/CrossChainLabs-Stellar/sorobanpulse-webapp,https://sorobanpulse.app/,168500.0,"Partly, I do have a public Github",SorobanPulse showcases Soroban's true potential through data and metrics from real world problem-solving dApps.
zkFetch: zkTLS-Powered Oracle Solution,Infrastructure & Services,Mainnet,https://github.com/reclaimprotocol/stellar-sdk-onchain-integration,https://www.reclaimprotocol.org,166000.0,"Yes, fully open-source with Github",zkFetch leverages zkTLS infrastructure to democratize and scale Stellar oracles by enabling fetching of any off-chain data from HTTPS endpoints while not exposing API keys. This enables a truly decentralized oracle infrastructure removing any depende
AssemblyScript Soroban SDK,Developer Tooling,Mainnet,https://github.com/Soneso/as-soroban-sdk,https://github.com/Soneso/as-soroban-sdk,158460.0,"Yes, fully open-source with Github",The AssemblyScript Soroban SDK is an open source SDK that supports writing contracts for Soroban by using AssemblyScript.
BPV StellarMesh Anchor,Infrastructure & Services,Mainnet,https://github.com/bp-ventures/django-polaris-bpv  https://github.com/bp-ventures/retail-wallet  https://github.com/bp-ventures/stcli,https://www.bpventures.us/,150000.0,"Partly, I do have a public Github","BP Ventures, a trusted, longtime Stellar integration partner, Stellar validator, and Circle Alliance member, proposes connecting Mesh—a leading aggregator of 300+ crypto exchanges—via our Anchor solution to the Stellar network.  This integration enab"
Public Node,Infrastructure & Services,Mainnet,https://github.com/publicnode,https://publicnode.org,150000.0,"No, my project does not need to be open-source, now or in the future",A nonprofit organization that supports and brings a trusted and meaningful public voice to open and inclusive blockchain networks.
Gateway.fm,Infrastructure & Services,Mainnet,https://github.com/gateway-fm,https://gateway.fm/public-rpc/,150000.0,"No, my project does not need to be open-source, now or in the future",Public Soroban RPC infra from gateway.fm. Mainnet/Testnet: 30RPS free of charge. Or 60RPS after the signup at https://admin.gateway.fm/
InfStones,Infrastructure & Services,Mainnet,https://gitlab.com/infstones-com,https://infstones.com,150000.0,"Partly, I do have a public Github",Provide Horizon and Soroban API developer access via an auto-scaling cluster with a freemium endpoint and support structure.
Volta Circuit,Infrastructure & Services,Mainnet,https://github.com/VoltaHQ,https://voltacircuit.com,150000.0,"No, my project does not need to be open-source, now or in the future","Volta Circuit is a non-custodial, smart contract-based security platform designed to enable secure asset management, DeFi participation, and cross-chain mobility. Modeled after Gnosis Safe, our architecture ensures users maintain full control over th"
Range: Cross-chain intelligence platform,Infrastructure & Services,Mainnet,https://github.com/rangesecurity,https://www.range.org,150000.0,"No, my project does not need to be open-source, now or in the future","This proposal seeks to build a Steller Bridge Explorer, and integrate Stellar with Range’s Cross-Chain Explorer and Range Trail, our cross-chain, cross-ecosystem, real-time forensic intelligence platform."
human.tech,Infrastructure & Services,Mainnet,https://github.com/holosoe/Human-Wallet-On-Stellar/tree/stellar,https://human.tech,150000.0,"Yes, fully open-source with Github","keys, wallets, and identity for personhood, self-custody, and privacy"
Digicus,Developer Tooling,Mainnet,https://github.com/spaced-out-thoughts-dev-foundation,https://spaced-out-thoughts-development-foundation.org/2024/10/10/digicus-whitepaper.html,150000.0,"Yes, fully open-source with Github","Digicus, Scratch for smart contracts, simplifies contract creation &amp; modification via an intuitive, Lego-like graphical interface."
Komet: Formal Verification,Developer Tooling,Mainnet,https://github.com/runtimeverification/komet,https://kasmer.runtimeverification.com,150000.0,"Yes, fully open-source with Github","Open-source tool for Soroban smart contract developers, enabling them to perform robust formal verification."
Decentrio,Developer Tooling,Mainnet,https://github.com/decentrio/sorobook,https://decentrio.ventures/,150000.0,"Yes, fully open-source with Github",We propose to provide a reliable RPC service and make a highly functional transactions/events indexer for Soroban Dapp.
Onboard Game Devs with Beamable,Developer Tooling,Mainnet,https://github.com/beamable/Stellar-Project,https://beamable.com,150000.0,"Yes, fully open-source with Github","This project aims to expand the Stellar blockchain’s footprint in gaming by integrating with Beamable, a leading game server and LiveOps platform, enabling developers to rapidly build, launch, and scale web3-powered games on the Stellar blockchain.  "
Inference,Developer Tooling,Development,https://github.com/Inferara/inference-language-spec,https://inferara.com,149730.0,"Partly, I do have a public Github","Inference is designed as a domain‑specific formal specification language for Web3 native applications. Designed for WASM based infrastructure, Stellar is the ideal  ecosystem to apply both our expertise & inference. Its syntax is concise and Rust‑lik"
Tansu - Soroban Versioning,Developer Tooling,Mainnet,https://github.com/tupui/soroban-versioning,https://tansu.dev/,147360.0,"Yes, fully open-source with Github","Bring decentralization back to Version control System with Soroban providing transparency, integrity and security."
Almanax,Developer Tooling,Mainnet,https://github.com/almanax-ai/w3sa,https://www.almanax.ai/,145000.0,"No, my project does not need to be open-source, now or in the future",Almanax is an automated security auditor that leverages AI to find and fix vulnerabilities in smart contracts.
LOAM,Developer Tooling,Mainnet,https://github.com/loambuild,https://loam.build,143900.0,"Yes, fully open-source with Github",Focus on the important parts of your Soroban Dapp. Let Loam handle the tedious bits.
Dobprotocol,Infrastructure & Services,Development,https://github.com/Dobprotocol/stellar-distribution-contracts,https://linktr.ee/dobprotocol,143330.0,"Yes, fully open-source with Github","Dobprotocol is a decentralized protocol that automates the distribution of Real-World Assets (RWA) using artificial intelligence (AI), smart contracts, and blockchain technology. By eliminating intermediaries, Dobprotocol ensures transparent, efficie"
Trustful,Developer Tooling,Mainnet,https://github.com/blockful/trustful-stellar-v1/tree/main/contracts,https://trustful-stellar.vercel.app/,142000.0,"Yes, fully open-source with Github",A reputation system using Stellar badges and on-chain data that prioritizes fair cross-community collaboration over wealth.
Subs,Developer Tooling,Mainnet,https://github.com/Subs-Protocol,https://stellar.subsprotocol.com/,139480.0,"Not yet, I don’t have a Github yet but my project will be open-source",Subs offers an SDK to help businesses manage blockchain subscriptions using Stellar's Soroban smart contracts.
Alterscope,Infrastructure & Services,Development,https://github.com/Solity-Network,https://www.alterscope.org/,137600.0,"No, my project does not need to be open-source, now or in the future","Alterscope develops the community-driven platform unifying real-time risk processing and monitoring capabilities with zk-proofs to unlock verifiable liquidity management for protocol foundations, professional investors, and retail users."
0xAuth,Infrastructure & Services,Testnet,https://github.com/authentication-labs/0xauth-stellar,https://www.david.inc/,135000.0,"Partly, I do have a public Github",0xAuth will enable seamless compliance andinteroperability for tokenised funds.
Moonlight Protocol,Infrastructure & Services,Development,https://github.com/Moonlight-Protocol,https://moonlight-10.gitbook.io/moonlight-docs,134990.0,"Yes, fully open-source with Github","Moonlight Protocol is a non-custodial privacy solution built on Stellar, enabling private balances and transactions without sacrificing user control. It is tailored for financial institutions and wallets looking to leverage blockchain while preservin"
Goldsky,Infrastructure & Services,Mainnet,https://github.com/indexed-xyz/docs,https://goldsky.com,128000.0,"No, my project does not need to be open-source, now or in the future","Offering builders access to real-time, high-performance Stellar data indexing and to a CC0-licensed public good dataset"
Aerochain,Infrastructure & Services,Development,https://github.com/SebWingleet/Aerochain-Stellar,https://aerochain.wingleet.com/redoc,128000.0,"Not yet, I don’t have a Github yet but my project will be open-source","AeroChain is a blockchain infrastructure built on Stellar, designed to provide full end-to-end traceability for aircraft parts. It aims to become the go-to trust protocol for the aerospace industry.  The system uses a hybrid architecture combining St"
Identity Operating System (idOS),Developer Tooling,Mainnet,https://github.com/idos-network/idos-sdk-js,https://idos.network/,125000.0,"Yes, fully open-source with Github",The idOS is a decentralized identity and storage layer for user data. The idOS enables KYC re-usability in a compliant way.
Mobula Labs,Infrastructure & Services,Development,https://github.com/MobulaFi,https://mobula.io,122000.0,"Partly, I do have a public Github","Mobula offers an extensive range of Data APIs tailored for decentralized applications (dApps), enabling seamless integration and real-time data access. For foundations, Mobula provides robust blockchain analytics tools to monitor and analyze user eng"
Agnostic,Infrastructure & Services,Development,https://github.com/agnosticeng/ch-stellar,https://agnostic.dev/,121000.0,"Yes, fully open-source with Github","Agnostic is a real-time blockchain analytics platform designed to provide seamless access to on-chain data across EVM-compatible chains, with a mission to eliminate complexity and latency in querying and analyzing blockchain activity by abstracting a"
Stellar Attestation Service,Infrastructure & Services,Mainnet,https://github.com/daccred/attest.so,https://sasdev.xyz,120550.0,"Yes, fully open-source with Github",Soroban framework for attesting to digital interactions on the Stellar network.
Flow,Infrastructure & Services,Mainnet,https://github.com/withObsrvr/flowctl,https://www.withobsrvr.com,120000.0,"Yes, fully open-source with Github","Flow is a data indexing solution that lets Stellar data be received, changed, and sent to external data stores in real time. Flow builds up the Composable Data Platform, the next generation data-access platform on Stellar. With an open-source cli com"
Flashback,Infrastructure & Services,Development,https://github.com/flashbacknetwork/FlashOnStellar,https://www.flashback.tech,120000.0,"Not yet, I don’t have a Github yet but my project will be open-source","Flashback is the world's first multi-cloud storage platform that enables companies to diversify and orchestrate their data storage with Agentic AI recommendations and smart contracts across both centralized (AWS, Google Cloud, etc.) and DePIN cloud ("
Soroban Governor,Developer Tooling,Mainnet,https://github.com/script3/soroban-governor,https://governance.script3.io/,111300.0,"Yes, fully open-source with Github",
Stellar AI Agent Kit,Developer Tooling,Development,https://github.com/JoseCToscano/stellar-mcp,https://stellarsandbox.dev/,108000.0,"Yes, fully open-source with Github","[DEVELOPER TOOLING] What if every Stellar smart contract was instantly AI-accessible? We are creating the Stellar AI Agent Kit — a full-stack developer toolkit that enables AI Agents to securely interact with Stellar accounts, Soroban smart contracts"
Satellite + We Work Out,Developer Tooling,Development,https://github.com/SpaceboatDVLP/hello-soroban/tree/master/src,https://getsatellite.io,100210.0,"Partly, I do have a public Github","A platform for deploying smart contracts linked to third party app data (first up, Strava). Like Zapier, but for Soroban."
reBlue: Securing Austere Supply Chains,Infrastructure & Services,Development,https://github.com/rebluedev,https://www.reblue.io/,100000.0,"Partly, I do have a public Github","reBlue hybridizes Stellar with off-chain analysis to provide supply chain oversight within fragile states, enable frontier market access, and engage informal economic systems."
SubQuery Network,Infrastructure & Services,Mainnet,https://github.com/subquery/subql-stellar,https://subquery.network/,98640.0,"Yes, fully open-source with Github","SubQuery is a leading blockchain data indexer that provides developers with fast, flexible, universal, and decentralised APIs for web3 projects. We empower developers from over 100+ ecosystems including Stellar, Ethereum, Polygon, Polkadot, Cosmos, A"
SiBorg,Developer Tooling,Mainnet,https://github.com/siborg-ads/stellar-client,https://www.siborg.io,95900.0,"Yes, fully open-source with Github","SiBorg is creating a decentralized monetization protocol that transforms media and creator visibility into a new asset class by tokenizing advertising spaces across various interfaces, enabling buyers to speculate on the future growth of publishers"
VIA Labs,Infrastructure & Services,Development,https://github.com/VIALabs-io/via-drivers,https://vialabs.io/,95000.0,"Yes, fully open-source with Github",The VIA Network is an omni-chain infrastructure that enables developers to create cross-chain products between Stellar and 140+ other blockchains (including both EVM and non-EVM chains). This interconnectivity opens the door for dapp developers to se
Lightecho Stellar Oracle,Infrastructure & Services,Mainnet,https://github.com/bp-ventures/lightecho-stellar-oracle,https://lightecho.io,93110.0,"Yes, fully open-source with Github",Reliable and Trustworthy Emerging markets and XLM Volatility price feed for Soroban.
Blux,Developer Tooling,Mainnet,https://github.com/bluxcc,https://blux.cc,81000.0,"Yes, fully open-source with Github","Blux is a connect kit designed to make integrating decentralized applications (dApps) with wallets, email, and phone authentication seamless. Built with a focus on the Stellar ecosystem, it enhances user onboarding and engagement while simplifying de"
Stellar Rust SDK,Developer Tooling,Mainnet,https://github.com/Baseflow/stellar-rust-sdk,https://www.baseflow.com/,80000.0,"Yes, fully open-source with Github","We propose the integration of a Rust SDK into the Stellar ecosystem, as a addition to the currently available SDK's."
DevAsign,Developer Tooling,Development,https://github.com/orgs/devasignhq/repositories,https://devasign.com,80000.0,"Yes, fully open-source with Github",DevAsign streamlines open-source project management by automating bounty payouts and intelligently handling pull requests with advanced AI review.
SorobanHub,Developer Tooling,Mainnet,https://github.com/Creit-Tech/SorobanHub-app,https://sorobanhub.com,78500.0,"Yes, fully open-source with Github","Manage, monitor and interact with your deployed contracts from a single and free to use desktop app."
K3 Labs,Developer Tooling,Mainnet,https://github.com/k3-labs,https://www.k3-labs.com/,75000.0,"No, my project does not need to be open-source, now or in the future","K3 is brand new tool that transforms how businesses and developers interoperate with Web 3 technologies - allowing for the orchestration of both simple and complex workflows through the use of a simple drag, drop, and configure interface."
AI Transparency Token (AITT),Infrastructure & Services,Development,https://github.com/Falparis/AITT,https://ethixia.com/,74000.0,"Partly, I do have a public Github","AITT is an open-source solution that certifies the compliance of artificial intelligence systems using the Stellar Soroban blockchain. With the rise of regulations such as the AI Act and GDPR, businesses must demonstrate their commitment to ethics, t"
Nodies,Infrastructure & Services,Mainnet,https://github.com/nodiesorg,https://nodies.app,62000.0,"Partly, I do have a public Github","With 3+ years of experience, Nodies offers the Stellar community high-performance RPC & Horizon services in Mainnet and Testnet."
Band Protocol,Infrastructure & Services,Mainnet,https://github.com/bandprotocol/band-std-reference-contracts-soroban,https://www.bandprotocol.com/,60000.0,"Yes, fully open-source with Github",Band Protocol is a cross-chain data oracle platform that aggregates and connects real-world data and APIs to smart contracts.
WebSoroban IDE,Developer Tooling,Development,https://github.com/WebSoroban,https://websoroban.vercel.app/,60000.0,"Yes, fully open-source with Github",Shipping Soroban straight to your browser!  No clutter. No delays. No dev drama.  Just open your browser and you are building on soroban in seconds.  WebSoroban: The launchpad for real builders. Write your first smart contract or ship that 3 am DeFi 
Soroban SDK Tools,Developer Tooling,Development,https://github.com/BlaineHeffron/soroban-sdk-tools,https://github.com/BlaineHeffron/soroban-sdk-tools,60000.0,"Yes, fully open-source with Github","We propose the soroban-sdk-tools crate extending rs-soroban-sdk, designed to streamline smart contract development. Loam, which has largely been integrated into scaffold-stellar, contains loamstorage (https://github.com/loambuild/loam/blob/main/crate"
Rust Soroban Client Library,Developer Tooling,Mainnet,https://github.com/rahul-soshte/rs-soroban-client,https://github.com/rahul-soshte/rs-soroban-client,56000.0,"Yes, fully open-source with Github",rs-soroban-client is a Rust library for communicating with a Soroban RPC server and using it on the client side. This library will enable developers to seamlessly integrate Soroban functionality into their Rust-based applications and services.
SorobanHooks,Developer Tooling,Mainnet,https://github.com/sorobanhooks,https://www.sorobanhooks.xyz/,55000.0,"Not yet, I don’t have a Github yet but my project will be open-source","We are building Real-Time On-Chain Data Made Simple — App-ready data instantly for developers & communities.  
  
Here is live features so far,

1.  Contract Alerts – Real-time Soroban contract events via webhook, Telegram, Discord + historical contr"
Hito Wallet,Infrastructure & Services,Mainnet,https://github.com/mishabunte/hito-firmware-rust,https://hito.xyz,50000.0,"Not yet, I don’t have a Github yet but my project will be open-source","Enable the Hito hardware wallet to support Stellar. Hito, currently supports Bitcoin, Ethereum, Solana and NEAR and has sold more than 5,000 customized wallets."
Stellar Transaction Visualizer,Developer Tooling,Mainnet,https://github.com/NibrasD/stellar-transaction-visualizer,https://stellarvisualizer.vercel.app/,50000.0,"Yes, fully open-source with Github","Stellar Transaction Visualizer is a professional-grade tool designed to help developers and users analyze, simulate, and debug Stellar blockchain transactions with clarity and ease. Built on modern web technologies, this visualizer transforms complex"
Stellar C SDK,Developer Tooling,Mainnet,https://github.com/overcat/libstellar,https://github.com/overcat/libstellar,48000.0,"Yes, fully open-source with Github",The lowest-level Stellar helper library implemented in the C language.
EnerDAO,Infrastructure & Services,Mainnet,https://github.com/EnerDAO/MVP_SMART_CONTRACT.git,https://www.enerdao.org/,47700.0,"Partly, I do have a public Github",EnerDAO: Fuelling the Global Green Transition through Decentralized Finance and tokenization of renewable power projects debt.
Stellar Unity Developer Kit,Developer Tooling,Development,https://github.com/towa-hi/StellarUnityDevToolkit,https://scryingst.one/,47000.0,"Partly, I do have a public Github",This powerful Unity-based developer toolkit allows video game and application developers to easily integrate Stellar smart contracts and blockchain features directly into their C# Unity projects. The developer toolkit will seamlessly bridge gap betwe
KYC Token & UI for RWA,Infrastructure & Services,Development,https://github.com/tigerblocks/BBF,https://github.com/tigerblocks/BBF/tree/main/KYCtoken,45000.0,"Yes, fully open-source with Github",Build a KYC token with Soroban to accelerate the adoption of Real World Assets on Stellar for Financial Service Providers
Soroban Security Portal,Developer Tooling,Mainnet,https://github.com/Inferara/soroban-security-portal,https://sorobansecurity.com,44190.0,"Yes, fully open-source with Github","Soroban Security Portal is a go-to hub for all things secure in the world of Soroban - Soroban's smart contract platform. Think of it as your safety compass: audit history, tools, tips and top-tier experts who've put Soroban projects through their pa"
Solang Playground,Developer Tooling,Development,https://github.com/hyperledger-solang/solang-playground,https://github.com/hyperledger-labs/solang-playground,42000.0,"Yes, fully open-source with Github",A Solang web IDE for Solang compiler
DIA Oracles,Infrastructure & Services,Development,https://github.com/diadata-org/soroban-oracle-feeders ; https://github.com/diadata-org/soroban-oracles,https://www.diadata.org/,38000.0,"Yes, fully open-source with Github","Elevate functionality and innovation across Soroban’s smart contract ecosystem with DIA’s robust, open-source cross-chain oracles"
xlm.sh,Infrastructure & Services,Mainnet,https://github.com/lightsail-network,https://xlm.sh/,36000.0,"No, my project does not need to be open-source, now or in the future",Gateway for .xlm websites
NebulaVRF,Developer Tooling,Development,https://github.com/orgs/NebulaVRF/repositories,https://notliveyet.com,34000.0,"Yes, fully open-source with Github","Abstract NebulaVRF is the first fully on-chain Verifiable Random Function (VRF) for Soroban, providing secure, unpredictable, and verifiable randomness without relying on external oracles like Chainlink or Band Protocol. By ensuring trustless and dec"
Horizon-as-a-Service,Infrastructure & Services,Mainnet,https://github.com/withObsrvr/nomad-pack-web3-registry,https://withobsrvr.com,32500.0,"No, my project does not need to be open-source, now or in the future","Whether you're looking for Soroban RPC nodes, or Horizon API Access, Obsrvr offers production ready, infrastructure to help you build on the Stellar network with a few clicks."
Steepx Stellar Explorer,Infrastructure & Services,Mainnet,https://github.com/chatch/stellarexplorer,https://steexp.com,31100.0,"Yes, fully open-source with Github",Soroban / latest protocol support and stack upgrade
Transfuse: Multichain Asset Bridge,Developer Tooling,Development,https://github.com/TransfuseLabs,https://www.transfuse.network/,30000.0,"Partly, I do have a public Github","Transfuse offers a secure bridge for Stellar users to swap unwrapped assets with Ethereum using non-custodial wallets via Soroban smart contracts. Stellar makes true decentralized cross-chain stable asset bridging a possibility. One that is secure, f"
Interlinked,Developer Tooling,Development,https://github.com/AntonTat27/interlinked-backend,https://inl.one,30000.0,"Partly, I do have a public Github",Decentralized link-shortening service built on Soroban.
Python Stellar SDK,Developer Tooling,Mainnet,https://github.com/StellarCN/py-stellar-base,https://github.com/StellarCN/py-stellar-base,29860.59,"Yes, fully open-source with Github",py-stellar-base is a Python library for communicating with a Stellar Horizon server and Soroban-RPC server. It is used for building Stellar apps on Python.
Meta Contracts in Stellar,Infrastructure & Services,Mainnet,https://github.com/creit-tech,https://jsr.io/@creit-tech/stellar-router-sdk,26400.0,"Yes, fully open-source with Github","A set of ""meta contracts"" developers can use to avoid uploading contracts just to do complex calls from their dApps"
Dfns,Infrastructure & Services,Mainnet,https://github.com/dfns,https://www.dfns.co,25000.0,"Not yet, I don’t have a Github yet but my project will be open-source","Dfns is a leading wallet infrastructure as a service platform, supporting banks, fintechs, tokenization platforms and more."
Stellar DeFi Dune Dashboards,Infrastructure & Services,Development,https://github.com/paltalabs,https://dune.com/paltalabs,25000.0,"Yes, fully open-source with Github","Right now, most DeFi stats on Stellar come from project-provided reports, which are not always transparent or easy to verify. Platforms like DeFi Llama and DappRadar often rely on these reports instead of pulling data directly from the blockchain. Th"
StellarGPT,Developer Tooling,Development,https://github.com/richafltr/StellarGPT,https://stellar-gpt.vercel.app/,25000.0,"Yes, fully open-source with Github","Semantic and Index-Based Search Integration across the entire Stellar Ecosystem digital footprint of docs, APIs, dApps etc."
Calimero Network,Developer Tooling,Development,https://github.com/calimero-network/core,https://www.calimero.network/,25000.0,"Yes, fully open-source with Github",Calimero Network is an innovative framework for building Self-Sovereign Application protocols and private data sharing.
Soroban Timelock Contract,Developer Tooling,Mainnet,https://github.com/57blocks/stellar-timelock-contract,https://github.com/57blocks/stellar-timelock-contract/tree/dev,24000.0,"Yes, fully open-source with Github",Develop a standard timelock contract that can be leveraged by Soroban protocol developers to increase user trust
Soroban RPC SDK,Developer Tooling,Mainnet,https://github.com/FrankSzendzielarz/SorobanRPCSDK,https://github.com/FrankSzendzielarz/SorobanRPCSDK,19000.0,"Yes, fully open-source with Github",A Soroban RPC SDK for native cross platform development.
Soroban Resource Usage Reporter,Developer Tooling,Mainnet,https://github.com/57blocks/stellar-resource-usage-report,https://57blocks.io/,18240.0,"Yes, fully open-source with Github","Soroban Resource Usage Reporter is designed to meet the specific needs of developers working within the Soroban ecosystem. In the coding and testing phases, this tool enables developers to efficiently track resource usage through key metrics, much li"
FROST Implementation,Developer Tooling,Development,https://github.com/Fiono11/threshold_stellar,,15000.0,"Yes, fully open-source with Github","Proof of Concept implementation of FROST, a threshold signature scheme based on the Schnorr signature, using the WebRTC protocol."
StellarExpert,Infrastructure & Services,Mainnet,https://github.com/stellar-expert/stellar-expert-explorer,https://stellar.expert,0.0,"Partly, I do have a public Github",Ledger explorer and analytics platform for Stellar Network
